id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock
0,0,1,0,1,28614000,2713,3,0,72
1,0,0,1,0,71387000,3876,7,10,54
2,1,3,2,1,57970000,2923,2,10,45
3,1,2,1,2,42031000,2372,6,10,75
4,2,5,2,1,5967000,3779,4,0,63
5,2,4,1,2,94031000,3527,2,0,49
6,3,7,3,2,71233000,3127,4,10,67
7,3,6,2,3,28767000,4397,5,0,75
8,4,9,2,4,72242000,2668,3,10,68
9,4,8,4,2,27756000,2495,3,10,31
10,5,11,2,5,77699000,2734,1,0,48
11,5,10,5,2,22300000,2974,2,0,48
12,6,13,2,6,42635000,4001,9,0,72
13,6,12,6,2,57365000,3047,5,0,51
14,7,15,7,8,30254000,2269,5,0,47
15,7,14,8,7,69745000,4465,9,0,32
16,8,17,9,10,98554000,1931,5,0,49
17,8,16,10,9,1445000,4006,2,0,53
18,9,19,9,10,28270000,3180,4,0,40
19,9,18,10,9,71730000,2216,4,0,47
20,10,21,11,4,87545000,2071,5,0,51
21,10,20,4,11,12455000,2073,6,0,85
22,11,23,8,12,53006000,4369,2,10,17
23,11,22,12,8,46994000,4054,9,0,31
24,12,25,10,8,57245000,1849,1,0,56
25,12,24,8,10,42754000,1640,6,0,92
26,13,27,13,10,30988000,3227,5,10,24
27,13,26,10,13,69014000,1612,7,0,72
28,14,29,6,4,69197000,4639,5,10,29
29,14,28,4,6,30803000,2452,9,0,86
30,15,31,14,15,39294000,1174,3,10,37
31,15,30,15,14,60705000,2592,5,0,73
32,16,33,16,15,76255000,1230,6,0,13
33,16,32,15,16,23746000,4500,2,10,36
34,17,35,2,17,36786000,2373,8,0,56
35,17,34,17,2,63213000,3666,5,0,19
36,18,37,16,18,66155000,1772,8,0,36
37,18,36,18,16,33844000,4271,8,10,60
38,19,39,2,19,80911000,2417,8,10,25
39,19,38,19,2,19087000,4316,1,0,40
40,20,41,20,21,57855000,3322,5,0,37
41,20,40,21,20,42146000,4679,9,0,68
42,21,43,22,23,54108000,2169,5,10,56
43,21,42,23,22,45890000,4607,3,0,98
44,22,45,16,24,56435000,3070,8,10,41
45,22,44,24,16,43565000,3531,7,0,88
46,23,47,3,25,98747000,4463,4,0,98
47,23,46,25,3,1253000,1317,1,0,48
48,24,49,26,10,45063000,4645,5,0,27
49,24,48,10,26,54937000,1110,3,0,83
50,25,51,27,28,5608000,2829,1,0,77
51,25,50,28,27,94392000,3967,5,10,14
52,26,53,29,8,83922000,2526,2,1000,82
53,26,52,8,29,16076000,4244,3,10,71
54,27,55,27,25,19017000,3659,5,100,89
55,27,54,25,27,80982000,3785,4,0,49
56,28,57,30,22,76508000,3418,6,0,33
57,28,56,22,30,23491000,4525,6,0,62
58,29,59,3,31,17150000,4710,1,0,77
59,29,58,31,3,82847000,3296,4,10,77
60,30,61,8,32,85938000,1823,8,0,65
61,30,60,32,8,14062000,4697,2,0,17
62,31,63,10,32,69854000,2597,1,0,48
63,31,62,32,10,30144000,3248,4,0,21
64,32,65,3,32,81163000,2482,5,0,92
65,32,64,32,3,18836000,4365,1,0,68
66,33,67,24,32,56501000,3328,4,10,28
67,33,66,32,24,43499000,3871,3,0,44
68,34,69,33,32,2931000,3369,6,0,51
69,34,68,32,33,97069000,3694,7,0,45
70,35,71,2,34,96568000,3170,1,0,16
71,35,70,34,2,3431000,3613,6,1000,99
72,36,73,24,35,57377000,4682,1,0,37
73,36,72,35,24,42623000,2972,6,0,98
74,37,75,36,4,18956000,3074,3,10,48
75,37,74,4,36,81045000,4152,7,0,47
76,38,77,37,33,18163000,3411,3,0,68
77,38,76,33,37,81838000,3990,2,10,58
78,39,79,38,4,17233000,4667,7,100,92
79,39,78,4,38,82765000,1365,6,10,51
80,40,81,33,39,31365000,4280,1,0,21
81,40,80,39,33,68631000,1485,1,0,50
82,41,83,21,40,40939000,1172,4,10,37
83,41,82,40,21,59061000,4922,8,100,58
84,42,85,41,40,554000,1468,5,0,80
85,42,84,40,41,99446000,2738,4,0,16
86,43,87,42,43,52100000,4852,5,10,40
87,43,86,43,42,47899000,4195,1,0,81
88,44,89,44,40,44336000,3417,7,10,37
89,44,88,40,44,55663000,4589,2,0,62
90,45,91,8,45,68361000,4461,9,0,12
91,45,90,45,8,31639000,2067,1,10,55
92,46,93,33,40,99303000,1530,3,10,61
93,46,92,40,33,697000,2290,2,0,98
94,47,95,43,39,62971000,2202,4,0,67
95,47,94,39,43,37027000,2124,4,1000,42
96,48,97,22,39,53387000,2898,2,0,59
97,48,96,39,22,46611000,2744,3,0,36
98,49,99,46,6,83807000,4550,6,0,11
99,49,98,6,46,16192000,1507,5,0,79
100,50,101,47,8,97102000,4049,8,0,84
101,50,100,8,47,2896000,2411,9,10,97
102,51,103,48,21,69937000,2423,5,0,93
103,51,102,21,48,30063000,1595,9,0,94
104,52,105,49,40,12392000,4355,6,0,34
105,52,104,40,49,87607000,3157,7,0,17
106,53,107,24,39,36248000,1901,3,0,88
107,53,106,39,24,63751000,2454,4,0,58
108,54,109,46,39,22546000,4870,6,0,35
109,54,108,39,46,77455000,1985,3,10,16
110,55,111,50,8,3454000,4729,5,0,62
111,55,110,8,50,96545000,4793,9,10,60
112,56,113,46,51,353000,2322,5,0,90
113,56,112,51,46,99649000,3917,2,0,18
114,57,115,46,51,88040000,2489,5,0,87
115,57,114,51,46,11959000,1106,5,0,92
116,58,117,2,52,90422000,3087,6,0,62
117,58,116,52,2,9578000,4349,4,10,41
118,59,119,53,40,40040000,4019,4,10,43
119,59,118,40,53,59959000,1968,1,0,94
120,60,121,54,55,34879000,2190,6,10,90
121,60,120,55,54,65121000,2914,2,10,35
122,61,123,54,56,41588000,4529,7,0,84
123,61,122,56,54,58410000,3838,5,100,96
124,62,125,54,57,24503000,3879,2,10,55
125,62,124,57,54,75498000,3978,2,0,40
126,63,127,58,40,58006000,2456,1,0,60
127,63,126,40,58,41996000,1765,7,0,70
128,64,129,59,60,27802000,1330,7,0,62
129,64,128,60,59,72198000,3515,4,100,62
130,65,131,58,61,8438000,4648,9,0,62
131,65,130,61,58,91562000,1930,2,100,77
132,66,133,62,63,20039000,1729,8,0,47
133,66,132,63,62,79960000,4475,8,0,78
134,67,135,63,64,17913000,4814,5,0,69
135,67,134,64,63,82086000,4091,4,10,71
136,68,137,54,65,47068000,2646,8,0,12
137,68,136,65,54,52932000,1215,1,0,20
138,69,139,54,66,42945000,4777,2,10,54
139,69,138,66,54,57053000,2080,7,0,42
140,70,141,54,67,21803000,2279,8,0,98
141,70,140,67,54,78198000,1626,3,0,28
142,71,143,46,51,47782000,4638,1,100,13
143,71,142,51,46,52216000,3828,8,10,53
144,72,145,46,51,3632000,4009,1,10,45
145,72,144,51,46,96370000,2863,9,0,81
146,73,147,46,68,16677000,3447,7,0,28
147,73,146,68,46,83322000,1660,9,10,42
148,74,149,69,24,50939000,2936,3,0,93
149,74,148,24,69,49060000,1580,8,10,71
150,75,151,46,51,67552000,3623,6,0,46
151,75,150,51,46,32447000,2029,1,10,17
152,76,153,63,70,27147000,1543,4,0,61
153,76,152,70,63,72853000,1092,9,0,11
154,77,155,56,8,84411000,2766,8,10,48
155,77,154,8,56,15591000,2487,9,0,88
156,78,157,54,71,2057000,1385,9,0,60
157,78,156,71,54,97942000,4026,3,100,22
158,79,159,54,72,98842000,1373,9,10,85
159,79,158,72,54,1157000,2641,5,0,69
160,80,161,54,73,92455000,2580,5,10,52
161,80,160,73,54,7545000,3438,5,0,83
162,81,163,54,74,24689000,1931,4,0,79
163,81,162,74,54,75313000,1538,7,0,24
164,82,165,46,45,23878000,2026,7,10,45
165,82,164,45,46,76122000,3561,3,0,64
166,83,167,75,17,55153000,1154,4,0,78
167,83,166,17,75,44847000,1920,3,0,18
168,84,169,76,77,73259000,4660,7,0,58
169,84,168,77,76,26740000,1821,3,0,61
170,85,171,2,78,61403000,1524,5,0,65
171,85,170,78,2,38597000,4952,5,0,91
172,86,173,76,5,8000,4077,9,0,40
173,86,172,5,76,99991000,2128,9,10,45
174,87,175,79,63,56435000,1851,2,0,45
175,87,174,63,79,43566000,4406,7,1000,21
176,88,177,24,80,42609000,4099,3,0,80
177,88,176,80,24,57391000,4515,5,0,87
178,89,179,54,66,30400000,4689,9,0,37
179,89,178,66,54,69601000,2359,8,0,63
180,90,181,46,45,93285000,2239,4,0,77
181,90,180,45,46,6716000,1564,6,10,60
182,91,183,33,81,82338000,1882,1,0,39
183,91,182,81,33,17661000,1590,5,0,35
184,92,185,82,54,52289000,2392,1,0,90
185,92,184,54,82,47711000,4461,6,0,86
186,93,187,24,83,37514000,2513,3,0,22
187,93,186,83,24,62486000,3254,1,0,75
188,94,189,84,54,24751000,1451,5,100,77
189,94,188,54,84,75248000,4567,7,10,96
190,95,191,54,85,92034000,1153,2,0,59
191,95,190,85,54,7968000,4447,2,0,61
192,96,193,46,49,51037000,4411,7,0,45
193,96,192,49,46,48962000,2231,8,0,90
194,97,195,54,86,36344000,2542,8,0,32
195,97,194,86,54,63656000,3589,9,0,13
196,98,197,87,24,52693000,2287,8,100,21
197,98,196,24,87,47306000,4311,1,0,35
198,99,199,54,40,27374000,2967,5,0,49
199,99,198,40,54,72626000,2273,8,0,35
200,100,201,8,88,43296000,4485,8,0,63
201,100,200,88,8,56703000,4080,8,0,40
202,101,203,66,8,21842000,4221,8,0,75
203,101,202,8,66,78159000,3420,8,0,74
204,102,205,89,87,79265000,3931,3,0,69
205,102,204,87,89,20736000,4713,4,10,85
206,103,207,89,1,59752000,3102,6,0,50
207,103,206,1,89,40247000,3653,6,0,59
208,104,209,90,24,3191000,4115,7,0,10
209,104,208,24,90,96808000,1434,9,0,59
210,105,211,54,80,12514000,3503,9,1000,51
211,105,210,80,54,87483000,1891,4,1000,43
212,106,213,80,1,66652000,3247,2,0,63
213,106,212,1,80,33348000,1696,9,0,85
214,107,215,10,80,75445000,4767,9,0,91
215,107,214,80,10,24554000,1648,8,10,98
216,108,217,87,80,53997000,1973,9,0,20
217,108,216,80,87,46002000,4534,4,0,59
218,109,219,27,80,37981000,2307,1,0,26
219,109,218,80,27,62021000,2867,2,100,33
220,110,221,54,91,95414000,3761,5,0,34
221,110,220,91,54,4586000,2691,4,0,60
222,111,223,87,49,36291000,1784,2,0,18
223,111,222,49,87,63710000,4772,4,0,95
224,112,225,54,92,1699000,2750,3,0,77
225,112,224,92,54,98301000,2854,8,0,32
226,113,227,87,93,92233000,2096,9,0,20
227,113,226,93,87,7765000,1462,6,0,95
228,114,229,94,95,20704000,2110,6,1000,74
229,114,228,95,94,79295000,3579,8,0,54
230,115,231,54,96,70739000,3357,3,0,62
231,115,230,96,54,29260000,4869,5,0,69
232,116,233,33,97,51877000,4427,7,0,51
233,116,232,97,33,48124000,1474,1,0,30
234,117,235,98,77,79225000,2313,6,10,43
235,117,234,77,98,20774000,4215,6,0,44
236,118,237,98,99,44046000,1762,8,0,37
237,118,236,99,98,55954000,2364,5,0,10
238,119,239,95,40,83007000,4774,2,10,91
239,119,238,40,95,16991000,2774,8,100,18
240,120,241,40,12,27148000,2842,5,10,86
241,120,240,12,40,72851000,1299,7,0,50
242,121,243,100,1,62461000,4983,1,0,29
243,121,242,1,100,37539000,3446,5,0,86
244,122,245,101,102,29008000,4574,7,0,32
245,122,244,102,101,70992000,2295,8,0,70
246,123,247,12,1,13511000,4978,4,0,55
247,123,246,1,12,86489000,1837,6,0,63
248,124,249,87,103,66805000,4771,2,0,87
249,124,248,103,87,33193000,3812,6,0,50
250,125,251,104,10,56368000,1784,3,0,12
251,125,250,10,104,43633000,3203,8,0,83
252,126,253,105,12,66303000,2044,7,10,40
253,126,252,12,105,33696000,4206,9,10,96
254,127,255,106,98,26761000,3777,5,1000,32
255,127,254,98,106,73240000,2354,9,10,60
256,128,257,107,5,20958000,3237,3,100,45
257,128,256,5,107,79041000,4372,7,0,96
258,129,259,46,108,1417000,3388,5,10,78
259,129,258,108,46,98583000,3148,7,0,90
260,130,261,54,46,24631000,3057,4,10,23
261,130,260,46,54,75368000,2088,6,10,41
262,131,263,66,109,23253000,1454,6,0,79
263,131,262,109,66,76747000,3343,8,0,85
264,132,265,63,109,62495000,4961,5,0,70
265,132,264,109,63,37504000,3579,7,100,44
266,133,267,87,110,79118000,4616,1,100,28
267,133,266,110,87,20880000,3600,1,10,94
268,134,269,87,109,85181000,4297,8,10,23
269,134,268,109,87,14818000,4866,3,0,61
270,135,271,111,10,10062000,4597,8,0,56
271,135,270,10,111,89938000,1457,3,0,14
272,136,273,87,112,92033000,3899,9,0,10
273,136,272,112,87,7968000,4756,2,10,20
274,137,275,87,76,67751000,2944,6,10,39
275,137,274,76,87,32249000,1400,5,0,59
276,138,277,87,6,39109000,3127,3,10,86
277,138,276,6,87,60892000,3787,6,0,57
278,139,279,54,113,84493000,4687,3,0,59
279,139,278,113,54,15508000,2072,4,1000,99
280,140,281,54,114,69364000,1146,7,10,38
281,140,280,114,54,30635000,4633,2,0,45
