id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock,is_closed,tot_flows
0,0,1,0,1,38616664,2713,3,0,72,0,0
1,0,0,1,0,61384336,3876,7,10,54,0,1
2,1,3,2,1,67973302,2923,2,10,45,0,2
3,1,2,1,2,32027698,2372,6,10,75,0,3
4,2,5,2,1,5967000,3779,4,0,63,0,0
5,2,4,1,2,94031000,3527,2,0,49,0,0
6,3,7,3,2,71233000,3127,4,10,67,0,0
7,3,6,2,3,28767000,4397,5,0,75,0,0
8,4,9,2,4,92252692,2668,3,10,68,0,1
9,4,8,4,2,7745308,2495,3,10,31,0,3
10,5,11,2,5,47692972,2734,1,0,48,0,3
11,5,10,5,2,52306028,2974,2,0,48,0,0
12,6,13,2,6,42635000,4001,9,0,72,0,0
13,6,12,6,2,57365000,3047,5,0,51,0,0
14,7,15,7,8,30254000,2269,5,0,47,0,0
15,7,14,8,7,69745000,4465,9,0,32,0,0
16,8,17,9,10,88549674,1931,5,0,49,0,2
17,8,16,10,9,11449326,4006,2,0,53,0,0
18,9,19,9,10,28270000,3180,4,0,40,0,0
19,9,18,10,9,71730000,2216,4,0,47,0,0
20,10,21,11,4,87541427,2071,5,0,51,0,1
21,10,20,4,11,12458573,2073,6,0,85,0,1
22,11,23,8,12,53006000,4369,2,10,17,0,0
23,11,22,12,8,46994000,4054,9,0,31,0,0
24,12,25,10,8,57245000,1849,1,0,56,0,0
25,12,24,8,10,42754000,1640,6,0,92,0,0
26,13,27,13,10,30988000,3227,5,10,24,0,0
27,13,26,10,13,69014000,1612,7,0,72,0,0
28,14,29,6,4,69197000,4639,5,10,29,0,0
29,14,28,4,6,30803000,2452,9,0,86,0,0
30,15,31,14,15,39294000,1174,3,10,37,0,0
31,15,30,15,14,60705000,2592,5,0,73,0,0
32,16,33,16,15,76264338,1230,6,0,13,0,1
33,16,32,15,16,23736662,4500,2,10,36,0,1
34,17,35,2,17,26782119,2373,8,0,56,0,1
35,17,34,17,2,73216881,3666,5,0,19,0,0
36,18,37,16,18,66160965,1772,8,0,36,0,1
37,18,36,18,16,33838035,4271,8,10,60,0,1
