id,sender_id,receiver_id,amount,start_time,end_time,mpp,is_success,no_balance_count,offline_node_count,timeout_exp,attempts,route,total_fee
0,887,2934,99924,3307,3913,0,1,0,0,0,1,5019-59821-25283,4090
1,5131,1488,99826,6138,6934,0,1,0,0,0,1,50613-28368-9906-10370,10108
2,2903,3296,100405,6964,7760,0,1,0,0,0,1,24934-7860-11289-28698,3475
3,697,3825,100430,8346,8346,0,0,0,0,0,1,-1,
4,67,3837,100116,9833,10626,0,1,0,0,0,1,141-50736-50273-35704,6216
5,3686,986,100321,9920,9920,0,0,0,0,0,1,-1,
6,1300,6824,98783,10884,11479,0,1,0,0,0,1,8101-3876-65827,5224
7,1495,2277,100181,11509,12098,0,1,0,0,0,1,16856-21124-18623,7230
8,3834,3924,99664,11548,11949,0,1,0,0,0,1,35074-36030,3244
9,6223,481,99876,11810,12406,0,1,0,0,0,1,62216-46187-19876,2496
10,6471,1015,99573,14943,15342,0,1,0,0,0,1,63704-6095,2546
11,1779,2353,99409,15312,15910,0,1,0,0,0,1,12996-13885-19336,2518
12,6954,1308,100491,16770,18557,0,1,4,0,0,5,66602-4174-36044-8149,6964
13,6963,2113,98363,17230,17829,0,1,0,0,0,1,66656-1459-16559,4154
14,915,3500,100160,17284,17878,0,1,0,0,0,1,45945-54457-30486,3188
15,1669,6117,100472,18671,19667,0,1,1,0,0,2,12188-11519-61585,7183
16,4056,106,99950,18753,19152,0,1,0,0,0,1,38120-31655,1981
17,4122,3681,101112,19758,20361,0,1,0,0,0,1,37983-44168-43799,8453
18,470,4390,100479,21700,22895,0,1,2,0,0,3,10460-17327-42141,3228
19,3446,3980,100740,22734,23333,0,1,0,0,0,1,30374-21241-36220,3830
20,2950,3873,101381,22847,23844,1,0,2,0,0,4,25553-49822-53639-39066,8662
21,4283,3000,100614,23282,24670,0,1,3,0,0,4,40267-52745-58381,6105
22,5899,5958,102054,25626,29415,0,0,6,0,0,7,59264-59140-25954-51297-53024-60118,7743
23,3081,4449,98990,26765,27760,0,0,2,0,0,3,26683-53271-60522-25105-42708,11155
24,1557,3232,99986,26889,27484,0,1,0,0,0,1,11347-16868-43744,2636
25,6702,971,98539,27553,29343,0,1,2,0,0,3,65090-39570-41186-6729,6277
26,1565,2065,99340,27677,29066,0,1,2,0,0,3,21912-17409-17349-16116,7161
27,5508,2234,101099,28968,29565,0,1,0,0,0,1,55898-21267-18149,4242
28,4593,2139,100827,30005,30799,0,1,1,0,0,2,45295-17791-17612,3761
29,749,5412,100769,31739,32536,0,1,0,0,0,1,19355-2177-55592-53546,6295
30,189,3868,99037,32781,33181,0,1,0,0,0,1,52757-36155,4864
31,1892,1036,99588,34029,34426,0,1,0,0,0,1,23541-23658,1744
32,3987,4434,98596,34710,35307,0,1,0,0,0,1,45564-46615-42497,3508
33,3051,2468,99780,35065,35855,0,1,0,0,0,1,26424-28921-27227-20357,5075
34,1924,1529,100159,35404,36002,0,1,1,0,0,2,31509-11005,2908
35,2544,3725,100500,36943,36943,0,0,0,0,0,1,-1,
36,4237,1962,102040,37737,38333,0,1,0,0,0,1,39545-33092-23108,4462
37,558,2102,101206,39952,41345,1,0,2,0,0,4,2731-5093-52047-16440,12029
38,1449,6146,99857,40019,41015,0,1,1,0,0,2,9300-1474-61757,4213
39,848,4886,99828,41319,41917,0,1,0,0,0,1,4725-8008-49221,5759
40,2411,4769,98993,44454,45054,0,1,0,0,0,1,24849-41368-51835,3812
41,4385,176,99845,48487,49282,0,1,0,0,0,1,41692-58015-57510-546,8014
42,5571,1744,99474,49947,49947,0,0,0,0,0,1,-1,
43,6740,1533,99784,51583,52180,0,1,0,0,0,1,65322-55821-11034,7153
44,3855,660,99978,51602,52001,0,1,0,0,0,1,34452-10924,3998
45,1,4615,99922,51980,52579,0,1,0,0,0,1,18659-44169-45650,6923
46,287,6569,100268,53483,54082,0,1,0,0,0,1,22879-22997-64295,4447
47,4049,2890,100583,53753,54349,0,1,0,0,0,1,37345-52745-24814,4921
48,355,306,101102,53891,54284,0,1,0,0,0,1,52701-56784,1254
49,1554,1633,100324,54060,55057,0,1,1,0,0,2,11319-8218-8182-11952,4912
50,5163,5655,100278,54740,55340,0,1,0,0,0,1,51142-21265-56073,3422
51,2826,469,99486,55015,55612,0,1,0,0,0,1,24707-50023-2308,4497
52,7,518,100910,55363,55761,0,0,1,0,0,2,14-3071-2608,7285
53,3789,4306,99747,57156,57755,0,1,0,0,0,1,46783-52735-40548,6834
54,2542,3433,99815,57176,58772,0,1,3,0,0,4,21072-13319-40655-29660,8381
55,2392,2355,100684,58658,59253,1,0,1,0,0,3,19637-260-21520,10072
56,3706,1622,98606,60114,61109,0,1,1,0,0,2,39199-30967-19306-11883,5688
57,2673,4551,101885,61043,61642,0,1,0,0,0,1,22526-42368-46748,6451
58,5595,4677,99162,62246,63042,0,1,1,0,0,2,55117-52676-50524,3848
59,5232,2074,100006,64527,65315,0,1,0,0,0,1,51512-57630-57633-16191,6361
60,5751,5756,99526,65284,65879,0,0,1,0,0,2,57487-53002-20275-57288,5131
61,4788,2986,100992,66192,66794,0,1,0,0,0,1,47865-46623-25866,5216
62,1122,4987,99163,66374,67167,0,1,0,0,0,1,7044-1923-58441-49550,5822
63,3159,984,101638,66382,67377,0,1,1,0,0,2,27531-53239-53220-5583,8262
64,318,6268,99975,67783,68381,0,1,0,0,0,1,1060-17430-62487,3248
65,3609,6059,100846,68520,69911,0,1,2,0,0,3,52305-24586-7046-61233,6324
66,5443,4190,98693,69555,70147,0,1,0,0,0,1,55009-13439-39232,6654
67,3106,1338,100184,71565,72566,0,1,1,0,0,2,26962-31777-36044-8438,7085
68,2069,4942,99978,72338,73134,1,0,1,0,0,3,16160-39959-58441-49461,16928
69,4380,3903,99607,75958,76755,0,1,1,0,0,2,44844-25548-36082,6695
70,126,6225,100398,78264,78264,0,0,0,0,0,1,-1,
71,1331,587,101394,78552,79150,0,1,0,0,0,1,8416-6393-2897,5073
72,6850,5120,100400,78752,79346,0,1,0,0,0,1,65980-32009-50498,2326
73,400,3908,100288,78874,79272,0,1,0,0,0,1,32301-40338,1351
74,5436,3362,101454,80703,81302,0,1,0,0,0,1,53716-41300-30314,6445
75,3310,3084,101351,80833,81828,0,1,1,0,0,2,28775-32932-56733-28028,4942
76,222,4971,98989,82290,82886,0,1,0,0,0,1,912-58441-49518,4166
77,795,1866,102004,83307,84099,0,1,1,0,0,2,4366-1232-16195,3163
78,5859,4970,98011,83918,84916,0,1,1,0,0,2,58389-52661-52994-49516,8210
79,1942,3013,99846,86618,87210,0,1,0,0,0,1,14885-1397-26068,4741
