id,sender_id,receiver_id,amount,start_time,end_time,mpp,is_success,no_balance_count,offline_node_count,timeout_exp,attempts,route,total_fee
0,7798,6661,9999170,443,443,0,0,0,0,0,1,-1,
1,1076,7424,10000086,2598,2598,0,0,0,0,0,1,-1,
2,4768,2044,10000226,4945,4945,0,0,0,0,0,1,-1,
3,124,1462,10001003,6263,6263,0,0,0,0,0,1,-1,
4,1952,6485,10000681,6335,6335,0,0,0,0,0,1,-1,
5,7343,7497,10000896,8422,8422,0,0,0,0,0,1,-1,
6,1335,976,9999694,10485,11079,0,1,0,0,0,1,8426-6393-5557,3720
7,1264,2132,10000619,10869,11271,0,1,0,0,0,1,7828-17025,1697
8,4531,1850,10000556,11443,11443,0,0,0,0,0,1,-1,
9,3125,4097,9999269,12832,12832,0,0,0,0,0,1,-1,
10,6330,3956,9999524,13252,13252,0,0,0,0,0,1,-1,
11,1471,6542,10000578,16310,16310,0,0,0,0,0,1,-1,
12,6932,101,10000108,19096,19691,0,1,0,0,0,1,66474-32739-23415,5182
13,2833,4136,9997408,19940,19940,0,0,0,0,0,1,-1,
14,550,1289,10002846,21616,22012,0,1,0,0,0,1,7384-8471,1095
15,4767,3271,10002132,23494,24489,0,1,0,0,0,1,58350-36239-51065-43979-28449,11124
16,2220,3842,9999145,24190,24190,0,0,0,0,0,1,-1,
17,1855,7929,10000767,27657,27657,0,0,0,0,0,1,-1,
18,5122,372,10000302,30579,30579,0,0,0,0,0,1,-1,
19,5186,463,10001568,31876,31876,0,0,0,0,0,1,-1,
20,7832,1164,9999676,32288,32883,0,1,0,0,0,1,71872-17349-7255,3099
21,4899,2134,9997925,32296,32296,0,0,0,0,0,1,-1,
22,7698,1492,10001352,34167,34762,0,1,0,0,0,1,71070-10219-11709,5593
23,1507,1622,10002031,34884,34884,0,0,0,0,0,1,-1,
24,5819,363,9999803,36210,36210,0,0,0,0,0,1,-1,
25,692,1132,9999401,36925,37323,0,0,1,0,0,2,4672-5701-7083,5058
26,147,2420,9998562,37736,38530,0,1,0,0,0,1,14022-5697-16683-19873,8551
27,3527,4402,9997024,42287,42883,0,1,0,0,0,1,51638-10543-42575,4896
28,4196,6224,10000991,42847,42847,0,0,0,0,0,1,-1,
29,5010,3845,9999414,45684,45684,0,0,0,0,0,1,-1,
30,7511,7672,10000596,46175,46175,0,0,0,0,0,1,-1,
31,6470,1678,9998938,46250,46250,0,0,0,0,0,1,-1,
32,5323,2826,9999486,49672,49672,0,0,0,0,0,1,-1,
33,2151,540,9999520,50024,50423,0,1,0,0,0,1,17106-2653,1729
34,1940,7067,9999300,51528,51528,0,0,0,0,0,1,-1,
35,2743,3692,9998750,51576,51576,0,0,0,0,0,1,-1,
36,4923,1458,9999340,52233,52233,0,0,0,0,0,1,-1,
37,6821,2653,10000512,53194,53793,0,1,0,0,0,1,65806-41987-41971,6581
38,403,6098,10000951,53553,53553,0,0,0,0,0,1,-1,
39,6692,1853,9997659,54485,55080,0,1,0,0,0,1,65030-42027-43713,4702
40,309,3954,9999315,54813,54813,0,0,0,0,0,1,-1,
41,803,6664,9999593,55599,55599,0,0,0,0,0,1,-1,
42,4914,5221,9999650,57534,57534,0,0,0,0,0,1,-1,
43,3058,2131,10001036,57726,58523,0,1,0,0,0,1,32029-15657-19015-17617,8308
44,4420,318,9999361,58419,59414,0,1,2,0,0,3,42393-52729-12271,6554
45,2408,4431,10000534,58437,59035,0,1,0,0,0,1,19757-57981-42467,8227
46,1687,6061,9999600,58758,58758,0,0,0,0,0,1,-1,
47,7142,4532,9999525,60045,60045,0,0,0,0,0,1,-1,
48,1641,1432,10000042,60547,60547,0,0,0,0,0,1,-1,
49,4959,894,10000214,61024,61024,0,0,0,0,0,1,-1,
50,2274,3671,10000461,61980,62774,0,0,2,0,0,3,20245-3469-23751-32357,8898
51,5951,7571,9999342,62135,62135,0,0,0,0,0,1,-1,
52,6622,6634,9998582,62880,62880,0,0,0,0,0,1,-1,
53,5033,2461,9999195,64093,64093,0,0,0,0,0,1,-1,
54,6909,6439,9998350,69097,69097,0,0,0,0,0,1,-1,
55,6875,3080,10000807,71336,71336,0,0,0,0,0,1,-1,
56,5769,5160,10000323,72602,72602,0,0,0,0,0,1,-1,
57,1195,5180,9999271,73705,73705,0,0,0,0,0,1,-1,
58,5718,6651,9999425,76485,76485,0,0,0,0,0,1,-1,
59,7189,4092,10000481,77094,77890,0,1,0,0,0,1,68014-8461-33093-37753,6942
60,4961,3337,10000047,77487,77487,0,0,0,0,0,1,-1,
61,7887,7070,10000700,77566,77566,0,0,0,0,0,1,-1,
62,2701,1516,9999002,79644,79644,0,0,0,0,0,1,-1,
63,4142,455,9999230,80826,80826,0,0,0,0,0,1,-1,
